,武汉市,孝感市,黄冈市,荆州市,鄂州市,随州市,襄阳市,黄石市,宜昌市,荆门市,咸宁市,十堰市,仙桃市,天门市,恩施州,潜江市,神农架
1月11日,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月12日,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月13日,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月16日,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月18日,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月21日,60.0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,167.0,0,0,6.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
1月24日,70.0,22.0,0,2.0,0,0,0,0,1.0,7.0,0,1.0,2.0,0,0,0,0
1月25日,77.0,4.0,52.0,2.0,1.0,5.0,0,31.0,0,13.0,0,4.0,8.0,3.0,11.0,0,0
1月26日,46.0,29.0,58.0,23.0,0,31.0,2.0,0,19.0,17.0,43.0,15.0,1.0,2.0,6.0,0,0
1月27日,80.0,45.0,32.0,14.0,19.0,16.0,34.0,5.0,11.0,52.0,21.0,20.0,1.0,8.0,8.0,5.0,0
1月28日,892.0,73.0,59.0,24.0,37.0,18.0,34.0,17.0,20.0,24.0,27.0,25.0,15.0,10.0,13.0,2.0,0
1月29日,315.0,101.0,111.0,30.0,27.0,46.0,61.0,33.0,12.0,28.0,21.0,23.0,5.0,11.0,13.0,1.0,0
1月30日,356.0,125.0,172.0,50.0,39.0,27.0,32.0,27.0,54.0,49.0,18.0,31.0,23.0,10.0,15.0,2.0,0
1月31日,378.0,142.0,77.0,70.0,66.0,85.0,123.0,55.0,50.0,36.0,36.0,31.0,35.0,23.0,9.0,2.0,0
2月1日,576.0,87.0,153.0,66.0,38.0,76.0,61.0,41.0,109.0,24.0,40.0,27.0,7.0,15.0,12.0,15.0,0
2月2日,894.0,121.0,276.0,46.0,51.0,80.0,94.0,43.0,77.0,78.0,40.0,35.0,43.0,17.0,18.0,8.0,0
2月3日,1033.0,169.0,244.0,166.0,28.0,74.0,107.0,82.0,39.0,16.0,50.0,44.0,29.0,16.0,6.0,0,0
2月4日,1242.0,202.0,176.0,114.0,26.0,183.0,84.0,71.0,60.0,55.0,52.0,35.0,19.0,2.0,12.0,9.0,0
2月5日,1967.0,342.0,223.0,100.0,50.0,65.0,103.0,104.0,44.0,22.0,36.0,27.0,37.0,11.0,15.0,10.0,0
2月6日,1766.0,424.0,162.0,88.0,41.0,128.0,52.0,57.0,67.0,86.0,15.0,35.0,40.0,10.0,6.0,10.0,0
2月7日,1501.0,255.0,90.0,84.0,48.0,81.0,51.0,69.0,47.0,45.0,44.0,42.0,42.0,25.0,13.0,10.0,0
2月8日,1985.0,172.0,144.0,56.0,98.0,38.0,69.0,68.0,23.0,35.0,33.0,43.0,52.0,16.0,3.0,6.0,0
2月9日,1379.0,123.0,100.0,56.0,70.0,31.0,81.0,57.0,78.0,75.0,17.0,29.0,20.0,18.0,11.0,2.0,0
2月10日,1920.0,105.0,111.0,48.0,86.0,65.0,31.0,45.0,38.0,-22.0,14.0,14.0,37.0,20.0,16.0,3.0,0
2月11日,1552.0,101.0,80.0,30.0,65.0,46.0,44.0,30.0,23.0,15.0,8.0,24.0,22.0,44.0,8.0,5.0,0
2月12日,1104.0,109.0,66.0,35.0,71.0,34.0,25.0,39.0,12.0,40.0,10.0,31.0,22.0,32.0,8.0,0.0,0
2月13日,13436.0,123.0,264.0,321.0,204.0,31.0,13.0,37.0,26.0,231.0,9.0,26.0,20.0,69.0,26.0,4.0,0
2月14日,2997.0,135.0,129.0,16.0,60.0,46.0,10.0,32.0,67.0,-26.0,198.0,24.0,20.0,54.0,8.0,10.0,0
2月15日,1923.0,105.0,26.0,31.0,67.0,26.0,17.0,37.0,29.0,1.0,108.0,11.0,14.0,6.0,7.0,12.0,0
2月16日,1548.0,87.0,6.0,12.0,38.0,22.0,16.0,8.0,-5.0,7.0,12.0,5.0,9.0,25.0,3.0,50.0,0
2月17日,1690.0,78.0,8.0,11.0,44.0,13.0,11.0,-5.0,-6.0,6.0,9.0,10.0,8.0,38.0,2.0,16.0,0
2月18日,1600.0,41.0,-3.0,36.0,65.0,11.0,8.0,2.0,9.0,-15.0,7.0,14.0,13.0,15.0,1.0,3.0,0
2月19日,1660.0,24.0,16.0,4.0,4.0,2.0,2.0,-2.0,3.0,1.0,-36.0,12.0,18.0,-14.0,-1.0,0.0,0
2月20日,615.0,66.0,22.0,12.0,25.0,8.0,3.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,0.0,0.0,0
2月21日,539.0,17.0,17.0,7.0,5.0,4.0,3.0,7.0,4.0,6.0,0.0,13.0,1.0,4.0,1.0,3.0,0
2月22日,315.0,2.0,16.0,6.0,2.0,4.0,2.0,5.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0
2月23日,573.0,14.0,5.0,8.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,8.0,0.0,1.0,0.0,2.0,0
2月24日,153.0,22.0,0.0,0.0,4.0,3.0,1.0,4.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0
2月25日,464.0,17.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0
2月26日,370.0,19.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
2月27日,383.0,15.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2月28日,313.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2月29日,420.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3月1日,565.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3月2日,193.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3月3日,111.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3月4日,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3月5日,131.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
